"No","Pertanyaan Pengguna","Actual Intent","Predicted Intent","Entity yang Terdeteksi","Hasil/Status"
"1","Ada beasiswa S1 ln?","Search","Search","Jenjang: S1, Lokasi: Luar Negeri","BERHASIL"
"2","Saya mau kuliah di Jepang pakai beasiswa penuh","Search","Search","Negara: Jepang, Pendanaan: Fully Funded","BERHASIL"
"3","Beasiswa tanpa IELTS ada?","Search","Search","Persyaratan: Tanpa IELTS","BERHASIL"
"4","Halo, selamat pagi kak mau tanya","Greeting","Greeting","-","BERHASIL"
"5","Tolong tampilkan halaman berikutnya","Navigation","Navigation","-","BERHASIL"
"6","Tolong jelaskan apa saja benefit beasiswa nomor 3","Detail","Detail","Nomor Beasiswa: 3, Benefit","BERHASIL"
"7","Bagaimana cara mendaftar beasiswa tersebut?","Detail","Detail","Cara Pendaftaran","BERHASIL"
"8","Apakah beasiswa nomor 1 berlokasi di Jepang?","Validation","Validation","Nomor Beasiswa: 1, Negara: Jepang","BERHASIL"
"9","Ada syarat minimal IPK ga untuk beasiswa ini?","Validation","Validation","Persyaratan IPK","BERHASIL"
"10","Cara membuat nasi goreng Aceh bagaimana ya?","Out of Topic","Out of Topic","-","BERHASIL"
"11","Terima kasih banyak ya bantuannya","Social","Social","-","BERHASIL"
"12","Beasiswa S2 IT di negara Jerman","Search","Search","Jenjang: S2, Bidang: IT/All Majors, Negara: Jerman","BERHASIL"
"13","Saya berumur 30 tahun, ada beasiswa S3?","Search","Search","Jenjang: S3, Usia: 30 Tahun/tanpa batasan usia","BERHASIL"
"14","Oke, saya paham kak","Social","Social","-","BERHASIL"
"15","Cari beasiswa S1 luar negeri tanpa batasan umur","Search","Search","Jenjang: S1, Luar Negeri, Tanpa Batas Usia","BERHASIL"
"16","Tampilkan beasiswa S3 selain di negara Amerika","Search","Search","Jenjang: S3, Kecuali Amerika","BERHASIL"
"17","Cari beasiswa S2 yang deadline-nya bulan depan","Search","Search","Jenjang: S2, Deadline Bulan Depan","BERHASIL"
"18","Beasiswa yang minta skor TOEFL minimal 500","Search","Search","TOEFL ≥ 500","BERHASIL"
"19","Kapan deadline pendaftaran beasiswa nomor 4?","Detail","Detail","Nomor Beasiswa: 4, Deadline","BERHASIL"
"20","Kasih tau link resmi website beasiswa ini dong","Detail","Detail","URL Resmi","BERHASIL"
"21","Apakah beasiswa nomor 2 ini tipenya fully funded?","Validation","Validation","Nomor Beasiswa: 2, Fully Funded","BERHASIL"
"22","Ada syarat harus bisa bahasa Jepang ga?","Validation","Validation","Bahasa Jepang","BERHASIL"
"23","Beasiswa yang mewajibkan dokumen paspor","Search","Search","Dokumen: Paspor","BERHASIL"
"24","Apakah beasiswa tersebut mewajibkan dokumen paspor?","Validation","Validation","Syarat: Dokumen Paspor","BERHASIL"
"25","Tampilkan beasiswa luar negeri yang masih buka","Search","Search","Luar Negeri, Masih Dibuka","BERHASIL"
"26","Urutkan beasiswa S2 berdasarkan deadline terdekat","Search","Search","Jenjang: S2, Urut Deadline","BERHASIL"
"27","Beasiswa pertukaran pelajar (exchange) di Korea","Search","Search","Exchange, Korea","BERHASIL"
"28","Rekomendasi beasiswa S1 dengan IPK minimal 3.25","Search","Search","Jenjang: S1, IPK ≥ 3,25","BERHASIL"
"29","Ada beasiswa UGM untuk tahun 2026?","Search","Search","University: UGM, Tahun: 2026","BERHASIL (Sistem menolak permintaan secara tepat)"
"30","Tampilkan beasiswa di benua Asia untuk S2","Search","Search","Benua Asia, Jenjang S2","BERHASIL"
"31","Siapa pencipta lagu Indonesia Raya?","Out of Topic","Out of Topic","-","BERHASIL (Chatbot menolak karena di luar topik)"
"32","Assalamualaikum, mau tanya-tanya tentang beasiswa","Greeting","Greeting","-","BERHASIL"
"33","Pilihin beasiswa nomor dua dong kak","Detail","Detail","Nomor Beasiswa: 2","BERHASIL"
"34","Tolong carikan beasiswa S1 dengan syarat wajib bisa bahasa Arab","Search","Search","Jenjang: S1, Bahasa Arab","BERHASIL"
"35","Carikan beasiswa yang menanggung biaya tiket pesawat","Search","Search","Benefit: Tiket Pesawat","BERHASIL"
"36","Mau lihat daftar beasiswa lainnya dong","Navigation","Navigation","-","BERHASIL"
"37","Oke siap kak makasih infonya","Social","Social","-","BERHASIL"
"38","Apakah beasiswa ini wajib punya surat rekomendasi?","Validation","Validation","Surat Rekomendasi","BERHASIL"
"39","Berapa suhu di kota Jakarta hari ini?","Out of Topic","Out of Topic","-","BERHASIL (Chatbot menolak karena di luar topik)"
"40","Beasiswa S1 dalam negeri untuk tahun 2025","Search","Search","Jenjang: S1, Tipe Lokasi: Dalam Negeri, Tahun: 2025","BERHASIL (Menolak karena data 2025 tidak tersedia)"
"41","Cari beasiswa S1 di benua Australia","Search","Search","Jenjang: S1, Benua Australia","BERHASIL"
"42","Beasiswa S3 selain yang bertipe Partially Funded","Search","Search","Jenjang: S3, Kecuali Partially Funded","BERHASIL"
"43","Syarat pendaftaran beasiswa yang sedang saya pilih apa saja?","Detail","Detail","Persyaratan Pendaftaran","BERHASIL"
"44","Tolong tampilkan beasiswa S2 dengan syarat Sertifikat HSK","Search","Search","Jenjang: S2, Sertifikat HSK","BERHASIL"
"45","Carikan beasiswa S1 di Universitas Indonesia","Search","Search","Universitas: Universitas Indonesia","BERHASIL (Pencarian berdasar universitas belum didukung)"
"46","Bandingkan beasiswa nomor 1 dengan nomor 3, bagusan mana?","Detail","Search","Nomor Beasiswa: 1 dan 3","GAGAL / Sistem belum mendukung perbandingan dua beasiswa"
"47","Cari beasiswa S1 yang syarat nilai UTBK-nya minimal 650","Search","Validation","Jenjang: S1, Nilai UTBK ≥ 650","GAGAL / Sistem belum mendukung validasi nilai UTBK"
"48","Bagaimana cara membuat visa setelah saya lolos beasiswa nomor 2?","Out of Topic","Out of Topic","Nomor Beasiswa: 2, Topik: Visa","BERHASIL (Out-of-scope handling)"
"49","Tolong tampilkan beasiswa S2 dengan syarat Sertifikat Jepang (JLPT)","Search","Search","Jenjang: S2, Sertifikat Jepang (JLPT)","BERHASIL"
"50","Beasiswa S2 full gratis di benua Eropa yang masih buka","Search","Search","Jenjang: S2, Funding: Fully Funded, Benua: Eropa, Masih Dibuka","BERHASIL"
"51","Beasiswa S1 luar negeri benua asia selain ke negara Malaysia","Search","Search","Jenjang: S1, Lokasi Tipe: luar, Benua: Asia, Kecuali Negara (Exclude): Malaysia","BERHASIL"
"52","Apakah beasiswa nomor 1 ini ada batas umur maksimal?","Validation","Validation","Nomor Beasiswa: 1, Batasan Usia","BERHASIL"
"53","Tunjangannya apa saja ya untuk beasiswa ini?","Detail","Detail","Detail Type: Benefit / Tunjangan","BERHASIL"
"54","Berikan beasiswa yang tutup sampai akhir tahun 2026","Search","Search","Deadline sebelum 2026-12-31","BERHASIL"
"55","Minta link website beasiswanya dong","Detail","Detail","Detail Type: URL Resmi","BERHASIL"
"56","Berikan rekomendasi beasiswa kuliah tanpa proses wawancara","Search","Search","Lokasi Tipe: luar/dalam, Tanpa Wawancara","BERHASIL"
"57","Cara daftar beasiswa tersebut gimana?","Detail","Detail","Detail Type: Apply (Cara Pendaftaran)","BERHASIL"
"58","Tampilkan beasiswa yang tutup hari Selasa minggu depan","Search","Search","Deadline Sebelum: 2026-07-21, Urut Terdekat","BERHASIL"
"59","Menurut kamu, peluang saya lolos beasiswa LPDP besar nggak ya kalau IPK saya cuma 3.01 dan belum punya pengalaman kerja?","Advisory","Search","Nama Beasiswa: LPDP, IPK: 3.01, Syarat: Pengalaman Kerja","GAGAL (Sistem tidak mendukung penilaian probabilitas)"
"60","Coba tampilkan beasiswa S2 di Eropa yang uang saku bulanannya (living cost) lebih besar daripada beasiswa AAS di Australia","Search","Detail","Jenjang: S2, Benua: Eropa, Australia, Nama Beasiswa: AAS","GAGAL (Sistem belum mendukung komparasi antar beasiswa)"
